id,manufacturer_id,source_document_id,source_chunk_id,production_system_id,name,product_code,slug,category,subcategory,description,dimensions,length_m,double_sided,sheet_format,hero_image_url,website_url,source_label,source_url,fire_rating,bal_rating,acoustic_rating,moisture_resistant,structural_grade,install_guide_url,tech_data_url,notes,parser_notes,sort_order,extraction_confidence,extracted_at,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
,,,,,Hardie™ Groove Lining,,hardie-groove-lining,Internal Lining,Hamptons Collection,"Flat sheet with vertical V-shaped grooves at 100mm intervals, sanded smooth and site-painted.",2700 or 3000mm length x 1200mm width x 7.5mm thickness,,,sheet,,,"Hardie Product Catalogue June 2025, pp. 2 and 40",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Suitable for internal wall lining and eaves/soffits. Selling units per pack: 30 sheets or half packs of 15 sheets.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 40], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",11,0.91,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,EasyLap™ Panel,,easylap-panel,Exterior Cladding,General,Pre-primed fibre cement sheet with shiplap edge vertical joint; finished with site-applied roll-on textured acrylic paint.,"3000x900x8.5mm, 2440x1200x8.5mm, 3000x1200x8.5mm or 3600x1200x8.5mm panels",,,panel,,,"Hardie Product Catalogue June 2025, pp. 2 and 42",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Site-applied roll-on textured paint is not supplied by James Hardie. Pack: 40 sheets; 3600x1200mm - 30 sheets.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 42], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",12,0.91,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Flex Sheet,,hardie-flex-sheet,Exterior Cladding,General,"Smooth flat fibre cement sheet painted on site for a flat panel look; used as external wall cladding, eaves or soffit lining.","1800, 2400, 2700 or 3000mm length x 900 or 1200mm width x 4.5 or 6mm thickness",,,sheet,,,"Hardie Product Catalogue June 2025, pp. 2 and 44",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,4.5mm thick sheets are not suitable for bracing. Pack quantities vary by thickness.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 44], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",13,0.91,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Tex Base Sheet,,hardie-tex-base-sheet,Exterior Cladding,General,Pre-primed base sheet finished on site with a specialised texture coat system for a monolithic rendered look.,"2440, 2725 or 3000mm length x 1200mm width x 7.5mm thickness",,,sheet,,,"Hardie Product Catalogue June 2025, pp. 2 and 46",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Texture coat system is site-applied. Selling units per pack: 30 sheets.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 46], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",14,0.90,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Plank Weatherboard,,hardie-plank-weatherboard,Exterior Cladding,General,Site-painted weatherboard range with Woodgrain and Smooth profiles.,4200mm length x 230 or 300mm width x 7.5mm thickness; effective cover 205 or 275mm,4.2,,weatherboard,,,"Hardie Product Catalogue June 2025, pp. 2 and 48",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,"Selling units per pack: 120 lengths per full pack, 60 lengths per half pack.","{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 48], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",15,0.91,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Villaboard™ Lining,,villaboard-lining,Internal Lining,General,Pre-sealed flat sheet with recessed long edges for flush jointing; used for internal wall and ceiling lining.,"1800, 2400, 2700, 3000 or 3600mm length x 1200 or 1350mm width x 6 or 9mm thickness",,,sheet,,,"Hardie Product Catalogue June 2025, pp. 2 and 50",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,true,,,,9mm 3600x1200mm and 3000x1350mm variants marked unavailable in WA in source. Suitable for wet areas is stated in source.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 50], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",16,0.92,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Versilux™ Lining,,versilux-lining,Internal Lining,General,Pre-sealed flat sheet with square edges for butt joints; site-painted for a panelised look.,"2400, 2700, 3000 or 3600mm length x 1200mm width x 4.5, 6 or 9mm thickness",,,sheet,,,"Hardie Product Catalogue June 2025, pp. 2 and 52",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,4.5mm bevel edge; 6mm and 9mm square edge variants.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 52], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",17,0.91,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Panel Compressed Sheet,,hardie-panel-compressed-sheet,Structural Flooring,General,Durable compressed fibre cement structural flooring substrate for ceramic tile finishes over timber or lightweight steel floor joists.,2400 or 3000mm length x 1200mm width x 15 or 18mm thickness; 2400x1200x24mm also listed,,,compressed sheet,,,"Hardie Product Catalogue June 2025, pp. 2 and 54",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,true,Structural flooring substrate,,,"15mm, 18mm and 24mm listed as unavailable in WA in source table.","{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 54], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",18,0.92,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Ceramic Tile Underlay,403190,hardie-ceramic-tile-underlay,Underlays,General,"Internal underlay for ceramic tile finishes over timber, particleboard and plywood substrates.",1800mm length x 1200mm width x 6mm thickness,,,sheet,,,"Hardie Product Catalogue June 2025, pp. 2 and 56",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Single product code listed at system level: 403190.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 56], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",19,0.94,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Secura™ Flooring,,hardie-secura-flooring,Structural Flooring,General,Structural flooring for interior and exterior applications; moisture-resistant surface sealer and tongue-and-groove joint.,"2700x600x19mm, 1800x900x19mm or 2400x600x22mm sheets; joint centres 450 or 600mm",,,flooring sheet,,,"Hardie Product Catalogue June 2025, pp. 2 and 58",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,true,Structural flooring,,,Corner colours listed as Green for 19mm variants and Grey for 22mm variant. Selling units per pack: 20 sheets.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 58], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",20,0.93,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Flex Eaves Lining,,hardie-flex-eaves-lining,Eaves & Soffits,General,Smooth flat sheet produced in widths specifically made for eaves and soffits; site-painted for a flat panel look.,"2400mm length x 450, 600 or 750mm width x 4.5mm thickness",2.4,,sheet,,,"Hardie Product Catalogue June 2025, pp. 2 and 60",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Selling units per pack: 60 sheets or 30 sheets.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 60], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",21,0.92,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Edge Base Trim,,hardie-edge-base-trim,Trim,General,Powder-coated aluminium slab edge solution for compatible Hardie cladding products.,Hardie Edge Base Trim 3950mm long; corners and jointer listed separately,3.95,,trim,,,"Hardie Product Catalogue June 2025, pp. 2 and 62",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Compatible claddings require checking against the Hardie Edge Base Trim Installation Guide.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 62], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",22,0.86,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Break Thermal Strip,305612,hardie-break-thermal-strip,Thermal Break,General,12mm thick thermal break strip for reducing thermal bridging in steel frame applications behind Hardie external cladding.,2750mm length x 43mm width x 12mm thickness; 123.75 lineal metres per pack,2.75,,thermal strip,,,"Hardie Product Catalogue June 2025, pp. 2 and 64",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Product code 305612. May not be suitable in Type A and B fire-resisting construction; contact James Hardie before specification.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 64], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",23,0.93,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Wrap Weather Barrier,305664,hardie-wrap-weather-barrier,Weather Barriers,General,Non-perforated breathable weather barrier for use behind Hardie and other external cladding products.,30m roll length x 2.75m roll width; 82.5m² roll coverage,30.0,,roll,,,"Hardie Product Catalogue June 2025, pp. 2 and 66",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Product code 305664. Suitable for Australian Climate Zones 2 to 8; unsuitable for Climate Zone 1. Light duty classification.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 66], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",24,0.94,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Deck,,hardie-deck,Decking,General,"Fibre cement decking system with concealed fixing system, base jointer and top-strip system.",Decking board 3000x196x19mm; finishing board 3000x296x19mm; accessory coverage listed per box/pack,3.0,,decking board system,,,"Hardie Product Catalogue June 2025, pp. 2 and 68",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,BAL-FZ,,true,,,,Source states concealed fixing system certified for bushfire prone areas including BAL-FZ by CSIRO. Main board product code is component/profile-level.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 68], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",25,0.90,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,ExoTec™ Facade Panel and System,,exotec-facade-panel-and-system,Commercial Facades,Commercial,Sealed compressed fibre cement facade panel installed with a proprietary fixing system and expressed joints.,2400 or 3000mm length x 1200mm width x 9mm thickness,,,facade panel system,,,"Hardie Product Catalogue June 2025, pp. 2 and 70",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Selling units per pack: 16 sheets or 1 each. Accessories include proprietary top hats and gasket snap strip.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 70], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",26,0.92,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,RAB™ Board,,rab-board,Cavity Construction,Commercial / Pre-Cladding,6mm specialised fibre cement rigid air barrier used beneath facade systems and external claddings.,"2450, 2750 or 3000mm length x 1200mm width x 6mm thickness",,,board,,,"Hardie Product Catalogue June 2025, pp. 2 and 72",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,,,,,,Classified as Class 4 Vapour Permeable Membrane; suitable for Australian Climate Zones 2 to 8; can be exposed up to 180 days. Listed variants marked unavailable in WA.,"{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 72], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",27,0.92,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Smart Aged Care Wall System,,hardie-smart-aged-care-wall-system,Fire and Acoustic Rated Wall Systems,Hardie Smart Wall Systems,Fire and acoustic rated common wall solution for Class 9c buildings.,90mm timber stud wall; Hardie Fire Insulation 560x1160x85mm or 420x1160x85mm; system page shows internal lining options,,,wall system,,,"Hardie Product Catalogue June 2025, pp. 2 and 74",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,Rw 47,,,,,"System performance: FRL 60/60/60, Rw 47, R 2.7, 4.0-10 kN/m. Designed for separating walls between sole occupancies in Class 9c buildings.","{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 74], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",28,0.93,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
,,,,,Hardie™ Smart Blade Wall System,,hardie-smart-blade-wall-system,Fire and Acoustic Rated Wall Systems,Hardie Smart Wall Systems,Fire-rated wall system for timber-framed buildings where external separating walls require up to 1 hour FRL.,90mm timber stud; 85mm Hardie Fire Insulation; Hardie Wrap Weather Barrier; Hardie external cladding 6mm or thicker,,,wall system,,,"Hardie Product Catalogue June 2025, pp. 2 and 76",https://www.jameshardie.com.au/ContentfulCMS/Technical-Documents/Hardie_Product_Catalogue.pdf,,,Rw 47,,,,,"System performance: FRL 60/60/60, Rw 47, 4.0-10 kN/m. Wall thickness starts as low as 102mm according to source.","{""source_basis"": ""Hardie Product Catalogue June 2025 attached PDF; system list checked against page 2."", ""evidence_pages"": [2, 76], ""extraction_scope"": ""staged_systems only; product/profile/component codes generally left out unless a single system-level code is listed."", ""needs_human_review"": [""website_url"", ""install_guide_url"", ""tech_data_url"", ""hero_image_url""]}",29,0.93,,pending_review,,,Human review required before publish. Confirm website/install/technical URLs separately from official James Hardie source.,,
