system_name,id,staged_system_id,name,profile_name,product_code,dimensions,length_m,sheet_format,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,bal_rating,uom,image_url,website_url,parser_notes,extracted_at,sort_order,verification_status,reviewer_notes,created_at
Axon™ Cladding,,,Axon™ Cladding 400mm Smooth,Axon™ Cladding 400mm Smooth,404419,3000 x 1200 x 9 mm; groove spacing 400 mm,3,panel,3000,1200,,9,,,,,46.7,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,12,pending_review,,
Axon™ Cladding,,,Axon™ Cladding 133mm Smooth,Axon™ Cladding 133mm Smooth,404979,3600 x 1200 x 9 mm; groove spacing 133 mm,3.6,panel,3600,1200,,9,,,,,56.0,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,13,pending_review,,
Axon™ Cladding,,,Axon™ Cladding 133mm Grained,Axon™ Cladding 133mm Grained,404512,3000 x 1200 x 9 mm; groove spacing 133 mm,3,panel,3000,1200,,9,,,,,46.7,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,14,pending_review,,
Hardie™ Brushed Concrete Cladding,,,Hardie™ Brushed Concrete Cladding,Hardie™ Brushed Concrete Cladding,405310,2440 x 1200 x 8.5 mm,2.44,panel,2440,1200,,8.5,,,,,38.4,,,,,40,sheets,Selling units per pack: 2440x1200mm - 40 sheets,,sheet,,,,,15,pending_review,,
Hardie™ Brushed Concrete Cladding,,,Hardie™ Brushed Concrete Cladding,Hardie™ Brushed Concrete Cladding,405311,2750 x 1200 x 8.5 mm,2.75,panel,2750,1200,,8.5,,,,,43.3,,,,,40,sheets,Selling units per pack: 2750x1200mm - 40 sheets,,sheet,,,,,16,pending_review,,
Hardie™ Brushed Concrete Cladding,,,Hardie™ Brushed Concrete Cladding,Hardie™ Brushed Concrete Cladding,405312,3000 x 1200 x 8.5 mm,3,panel,3000,1200,,8.5,,,,,47.3,,,,,40,sheets,Selling units per pack: 3000x1200mm - 40 sheets,,sheet,,,,,17,pending_review,,
Hardie™ Brushed Concrete Cladding,,,Hardie™ Brushed Concrete Cladding,Hardie™ Brushed Concrete Cladding,405309,3600 x 1200 x 8.5 mm,3.6,panel,3600,1200,,8.5,,,,,56.7,,,,,30,sheets,Selling units per pack: 3600x1200mm - 30 sheets,,sheet,,,,,18,pending_review,,
Hardie™ Fine Texture Cladding,,,Hardie™ Fine Texture Cladding,Hardie™ Fine Texture Cladding,405252,2440 x 1200 x 8.5 mm,2.44,panel,2440,1200,,8.5,,,,,38.4,,,,,40,sheets,Selling units per pack: 2440x1200mm - 40 sheets,,sheet,,,,,19,pending_review,,
Hardie™ Fine Texture Cladding,,,Hardie™ Fine Texture Cladding,Hardie™ Fine Texture Cladding,405255,2750 x 1200 x 8.5 mm,2.75,panel,2750,1200,,8.5,,,,,43.3,,,,,40,sheets,Selling units per pack: 2750x1200mm - 40 sheets,,sheet,,,,,20,pending_review,,
Hardie™ Fine Texture Cladding,,,Hardie™ Fine Texture Cladding,Hardie™ Fine Texture Cladding,405253,3000 x 1200 x 8.5 mm,3,panel,3000,1200,,8.5,,,,,47.3,,,,,40,sheets,Selling units per pack: 3000x1200mm - 40 sheets,,sheet,,,,,21,pending_review,,
Hardie™ Fine Texture Cladding,,,Hardie™ Fine Texture Cladding,Hardie™ Fine Texture Cladding,405254,3600 x 1200 x 8.5 mm,3.6,panel,3600,1200,,8.5,,,,,56.7,,,,,30,sheets,Selling units per pack: 3600x1200mm - 30 sheets,,sheet,,,,,22,pending_review,,
Hardie™ Oblique™ Cladding,,,Hardie™ Oblique™ Cladding 200mm,Hardie™ Oblique™ Cladding 200mm,405502,3000 x 200 x 14 mm; groove spacing 175 mm,3,board,3000,200,,14,,,,,10.2,,,,,75,boards,Selling units per pack: 200mm - 75 boards,,board,,,,,23,pending_review,,
Hardie™ Oblique™ Cladding,,,Hardie™ Oblique™ Cladding 200mm,Hardie™ Oblique™ Cladding 200mm,405301,4200 x 200 x 14 mm; groove spacing 175 mm,4.2,board,4200,200,,14,,,,,14.2,,,,,75,boards,Selling units per pack: 200mm - 75 boards,,board,,,,,24,pending_review,,
Hardie™ Oblique™ Cladding,,,Hardie™ Oblique™ Cladding 300mm,Hardie™ Oblique™ Cladding 300mm,405503,3000 x 300 x 14 mm; groove spacing 275 mm,3,board,3000,300,,14,,,,,16.3,,,,,45,boards,Selling units per pack: 300mm - 45 boards,,board,,,,,25,pending_review,,
Hardie™ Oblique™ Cladding,,,Hardie™ Oblique™ Cladding 300mm,Hardie™ Oblique™ Cladding 300mm,405303,4200 x 300 x 14 mm; groove spacing 275 mm,4.2,board,4200,300,,14,,,,,22.8,,,,,45,boards,Selling units per pack: 300mm - 45 boards,,board,,,,,26,pending_review,,
Linea™ Weatherboard,,,Linea™ Weatherboard 150mm,Linea™ Weatherboard 150mm,403930,4200 x 150 x 16 mm; tongue & groove,4.2,weatherboard,4200,150,,16,,,,,14.3,,,,,90,lengths,Selling units per pack: 90 lengths,,length,,,,,27,pending_review,,
Linea™ Weatherboard,,,Linea™ Weatherboard 180mm,Linea™ Weatherboard 180mm,403912,4200 x 180 x 16 mm; tongue & groove,4.2,weatherboard,4200,180,,16,,,,,17.1,,,,,90,lengths,Selling units per pack: 90 lengths,,length,,,,,28,pending_review,,
Matrix™ Cladding,,,Matrix™ Cladding panel,Matrix™ Cladding panel,403811,1190 x 1190 x 8 mm,1.19,panel,1190,1190,,8,,,,,18.0,,,,,30,panels,Selling units per pack: 30,,panel,,,,,29,pending_review,,
Matrix™ Cladding,,,Matrix™ Cladding panel,Matrix™ Cladding panel,403810,2390 x 590 x 8 mm,2.39,panel,2390,590,,8,,,,,17.9,,,,,30,panels,Selling units per pack: 30,,panel,,,,,30,pending_review,,
Matrix™ Cladding,,,Matrix™ Cladding panel,Matrix™ Cladding panel,404169,2990 x 1190 x 8 mm,2.99,panel,2990,1190,,8,,,,,45.1,,,,,30,panels,Selling units per pack: 30,,panel,,,,,31,pending_review,,
Hardie™ Axent™ Trim,,,Hardie™ Axent™ Trim 45x19mm,Hardie™ Axent™ Trim 45x19mm,405260,3000 x 45 x 19 mm,3,trim,3000,45,,19,,,,,3.1,,,,,1,each,Selling units per pack: 1 each,,each,,,,,32,pending_review,,
Hardie™ Axent™ Trim,,,Hardie™ Axent™ Trim 70x19mm,Hardie™ Axent™ Trim 70x19mm,405257,3000 x 70 x 19 mm,3,trim,3000,70,,19,,,,,4.8,,,,,1,each,Selling units per pack: 1 each,,each,,,,,33,pending_review,,
Hardie™ Axent™ Trim,,,Hardie™ Axent™ Trim 89x19mm,Hardie™ Axent™ Trim 89x19mm,405258,3000 x 89 x 19 mm,3,trim,3000,89,,19,,,,,6.1,,,,,1,each,Selling units per pack: 1 each,,each,,,,,34,pending_review,,
Hardie™ Axent™ Trim,,,Hardie™ Axent™ Trim 45x38mm,Hardie™ Axent™ Trim 45x38mm,405261,3000 x 45 x 38 mm,3,trim,3000,45,,38,,,,,6.2,,,,,1,each,Selling units per pack: 1 each,,each,,,,,35,pending_review,,
Hardie™ Axent™ Trim,,,Hardie™ Axent™ Trim 89x38mm,Hardie™ Axent™ Trim 89x38mm,405262,3000 x 89 x 38 mm,3,trim,3000,89,,38,,,,,12.2,,,,,1,each,Selling units per pack: 1 each,,each,,,,,36,pending_review,,
Primeline™ Weatherboard,,,Primeline™ Heritage Weatherboard,Primeline™ Heritage Weatherboard,400153,4200 x 300 x 9 mm,4.2,weatherboard,4200,300,,9,,,,,15.2,,,,,90,lengths,Selling units per pack: Heritage: 90 lengths,,length,,,,,37,pending_review,,
Primeline™ Weatherboard,,,Primeline™ Newport Weatherboard,Primeline™ Newport Weatherboard,400319,4200 x 170 x 9 mm,4.2,weatherboard,4200,170,,9,,,,,9.1,,,,,120,lengths,Selling units per pack: Newport: 120 lengths,,length,,,,,38,pending_review,,
Primeline™ Weatherboard,,,Primeline™ Chamfer Weatherboard,Primeline™ Chamfer Weatherboard,400103,4200 x 300 x 9 mm,4.2,weatherboard,4200,300,,9,,,,,15.2,,,,,90,lengths,Selling units per pack: Chamfer: 90 lengths,,length,,,,,39,pending_review,,
Hardie™ Groove Lining,,,Hardie™ Groove Lining,Hardie™ Groove Lining,400245,2700 x 1200 x 7.5 mm,2.7,sheet,2700,1200,,7.5,,,,,37.5,,,,,,sheets,"Selling units per pack: 30 sheets, or half packs of 15 sheets",,sheet,,,,,40,pending_review,,
Hardie™ Groove Lining,,,Hardie™ Groove Lining,Hardie™ Groove Lining,404917,3000 x 1200 x 7.5 mm,3,sheet,3000,1200,,7.5,,,,,41.7,,,,,,sheets,"Selling units per pack: 30 sheets, or half packs of 15 sheets",,sheet,,,,,41,pending_review,,
EasyLap™ Panel,,,EasyLap™ Panel,EasyLap™ Panel,404186,3000 x 900 x 8.5 mm,3,panel,3000,900,,8.5,,,,,35.5,,,,,40,sheets,Selling units per pack: 40 sheets,,sheet,,,,,42,pending_review,,
EasyLap™ Panel,,,EasyLap™ Panel,EasyLap™ Panel,404184,2440 x 1200 x 8.5 mm,2.44,panel,2440,1200,,8.5,,,,,38.4,,,,,40,sheets,Selling units per pack: 40 sheets,,sheet,,,,,43,pending_review,,
EasyLap™ Panel,,,EasyLap™ Panel,EasyLap™ Panel,404185,3000 x 1200 x 8.5 mm,3,panel,3000,1200,,8.5,,,,,47.3,,,,,40,sheets,Selling units per pack: 40 sheets,,sheet,,,,,44,pending_review,,
EasyLap™ Panel,,,EasyLap™ Panel,EasyLap™ Panel,404980,3600 x 1200 x 8.5 mm,3.6,panel,3600,1200,,8.5,,,,,56.7,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,45,pending_review,,
Hardie™ Flex Sheet,,,Hardie™ Flex Sheet,Hardie™ Flex Sheet,400189,1800 x 1200 x 4.5 mm,1.8,sheet,1800,1200,,4.5,,,,,15.0,,,,,60,sheets,"4.5mm – 60 sheets, 30 sheets per half pack",,sheet,,,,,46,pending_review,4.5mm thick sheets are not suitable for use as bracing.,
Hardie™ Flex Sheet,,,Hardie™ Flex Sheet,Hardie™ Flex Sheet,400186,2400 x 1200 x 4.5 mm,2.4,sheet,2400,1200,,4.5,,,,,20.0,,,,,60,sheets,"4.5mm – 60 sheets, 30 sheets per half pack",,sheet,,,,,47,pending_review,4.5mm thick sheets are not suitable for use as bracing.,
Hardie™ Flex Sheet,,,Hardie™ Flex Sheet,Hardie™ Flex Sheet,400184,2700 x 1200 x 4.5 mm,2.7,sheet,2700,1200,,4.5,,,,,22.5,,,,,60,sheets,"4.5mm – 60 sheets, 30 sheets per half pack",,sheet,,,,,48,pending_review,4.5mm thick sheets are not suitable for use as bracing.,
Hardie™ Flex Sheet,,,Hardie™ Flex Sheet,Hardie™ Flex Sheet,400182,3000 x 1200 x 4.5 mm,3,sheet,3000,1200,,4.5,,,,,25.0,,,,,60,sheets,"4.5mm – 60 sheets, 30 sheets per half pack",,sheet,,,,,49,pending_review,4.5mm thick sheets are not suitable for use as bracing.,
Hardie™ Flex Sheet,,,Hardie™ Flex Sheet,Hardie™ Flex Sheet,400193,2400 x 900 x 4.5 mm,2.4,sheet,2400,900,,4.5,,,,,15.0,,,,,60,sheets,4.5mm 900mm wide sheet; half packs unavailable,,sheet,,,,,50,pending_review,4.5mm thick sheets are not suitable for use as bracing.,
Hardie™ Flex Sheet,,,Hardie™ Flex Sheet,Hardie™ Flex Sheet,400171,2400 x 1200 x 6 mm,2.4,sheet,2400,1200,,6,,,,,26.7,,,,,30,sheets,"6mm – 30 sheets, 15 sheets per half pack",,sheet,,,,,51,pending_review,,
Hardie™ Flex Sheet,,,Hardie™ Flex Sheet,Hardie™ Flex Sheet,400169,2700 x 1200 x 6 mm,2.7,sheet,2700,1200,,6,,,,,30.0,,,,,30,sheets,"6mm – 30 sheets, 15 sheets per half pack",,sheet,,,,,52,pending_review,,
Hardie™ Flex Sheet,,,Hardie™ Flex Sheet,Hardie™ Flex Sheet,400167,3000 x 1200 x 6 mm,3,sheet,3000,1200,,6,,,,,33.4,,,,,30,sheets,"6mm – 30 sheets, 15 sheets per half pack",,sheet,,,,,53,pending_review,,
Hardie™ Tex Base Sheet,,,Hardie™ Tex Base Sheet,Hardie™ Tex Base Sheet,401651,2440 x 1200 x 7.5 mm,2.44,sheet,2440,1200,,7.5,,,,,33.9,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,54,pending_review,,
Hardie™ Tex Base Sheet,,,Hardie™ Tex Base Sheet,Hardie™ Tex Base Sheet,400294,2725 x 1200 x 7.5 mm,2.725,sheet,2725,1200,,7.5,,,,,38.2,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,55,pending_review,,
Hardie™ Tex Base Sheet,,,Hardie™ Tex Base Sheet,Hardie™ Tex Base Sheet,400291,3000 x 1200 x 7.5 mm,3,sheet,3000,1200,,7.5,,,,,41.7,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,56,pending_review,,
Hardie™ Plank Weatherboard,,,Hardie™ Plank Woodgrain 230mm Weatherboard,Hardie™ Plank Woodgrain 230mm Weatherboard,403080,4200 x 230 x 7.5 mm,4.2,weatherboard,4200,230,,7.5,,,,,11.2,,,,,120,lengths,"Selling units per pack: 120 lengths per full pack, 60 lengths per half pack",,length,,,,,57,pending_review,,
Hardie™ Plank Weatherboard,,,Hardie™ Plank Woodgrain 300mm Weatherboard,Hardie™ Plank Woodgrain 300mm Weatherboard,403081,4200 x 300 x 7.5 mm,4.2,weatherboard,4200,300,,7.5,,,,,14.6,,,,,120,lengths,"Selling units per pack: 120 lengths per full pack, 60 lengths per half pack",,length,,,,,58,pending_review,,
Hardie™ Plank Weatherboard,,,Hardie™ Plank Smooth 230mm Weatherboard,Hardie™ Plank Smooth 230mm Weatherboard,400265,4200 x 230 x 7.5 mm,4.2,weatherboard,4200,230,,7.5,,,,,11.2,,,,,120,lengths,"Selling units per pack: 120 lengths per full pack, 60 lengths per half pack",,length,,,,,59,pending_review,,
Hardie™ Plank Weatherboard,,,Hardie™ Plank Smooth 300mm Weatherboard,Hardie™ Plank Smooth 300mm Weatherboard,400266,4200 x 300 x 7.5 mm,4.2,weatherboard,4200,300,,7.5,,,,,14.6,,,,,120,lengths,"Selling units per pack: 120 lengths per full pack, 60 lengths per half pack",,length,,,,,60,pending_review,,
Villaboard™ Lining,,,Villaboard™ Lining 6mm,Villaboard™ Lining 6mm,400364,1800 x 1200 x 6 mm,1.8,sheet,1800,1200,,6,,,,,20.0,,,,,,sheets,"Selling units per pack: 6mm - 15, 30 or 60 sheets; 9mm - 30 sheets or 1 each",,sheet,,,,,61,pending_review,,
Villaboard™ Lining,,,Villaboard™ Lining 6mm,Villaboard™ Lining 6mm,400362,2400 x 1200 x 6 mm,2.4,sheet,2400,1200,,6,,,,,26.7,,,,,,sheets,"Selling units per pack: 6mm - 15, 30 or 60 sheets; 9mm - 30 sheets or 1 each",,sheet,,,,,62,pending_review,,
Villaboard™ Lining,,,Villaboard™ Lining 6mm,Villaboard™ Lining 6mm,400361,2700 x 1200 x 6 mm,2.7,sheet,2700,1200,,6,,,,,30.0,,,,,,sheets,"Selling units per pack: 6mm - 15, 30 or 60 sheets; 9mm - 30 sheets or 1 each",,sheet,,,,,63,pending_review,,
Villaboard™ Lining,,,Villaboard™ Lining 6mm,Villaboard™ Lining 6mm,400360,3000 x 1200 x 6 mm,3,sheet,3000,1200,,6,,,,,33.4,,,,,,sheets,"Selling units per pack: 6mm - 15, 30 or 60 sheets; 9mm - 30 sheets or 1 each",,sheet,,,,,64,pending_review,,
Villaboard™ Lining,,,Villaboard™ Lining 6mm,Villaboard™ Lining 6mm,400359,3600 x 1200 x 6 mm,3.6,sheet,3600,1200,,6,,,,,40.0,,,,,,sheets,"Selling units per pack: 6mm - 15, 30 or 60 sheets; 9mm - 30 sheets or 1 each",,sheet,,,,,65,pending_review,,
Villaboard™ Lining,,,Villaboard™ Lining 9mm,Villaboard™ Lining 9mm,400357,2400 x 1200 x 9 mm,2.4,sheet,2400,1200,,9,,,,,40.0,,,,,,sheets,"Selling units per pack: 6mm - 15, 30 or 60 sheets; 9mm - 30 sheets or 1 each",,sheet,,,,,69,pending_review,,
Villaboard™ Lining,,,Villaboard™ Lining 9mm,Villaboard™ Lining 9mm,400355,3000 x 1200 x 9 mm,3,sheet,3000,1200,,9,,,,,50.0,,,,,,sheets,"Selling units per pack: 6mm - 15, 30 or 60 sheets; 9mm - 30 sheets or 1 each",,sheet,,,,,71,pending_review,,
Versilux™ Lining,,,Versilux™ Lining 4.5mm (Bevel Edge),Versilux™ Lining 4.5mm (Bevel Edge),400452,2400 x 1200 x 4.5 mm,2.4,sheet,2400,1200,,4.5,,,,,20.0,,,,,,sheets,Selling units per pack: 4.5mm - 30 sheets,,sheet,,,,,74,pending_review,,
Versilux™ Lining,,,Versilux™ Lining 6mm (Square Edge),Versilux™ Lining 6mm (Square Edge),404777,2400 x 1200 x 6 mm,2.4,sheet,2400,1200,,6,,,,,26.7,,,,,,sheets,Selling units per pack: 6mm - 15 or 30 sheets,,sheet,,,,,77,pending_review,,
Versilux™ Lining,,,Versilux™ Lining 9mm (Square Edge),Versilux™ Lining 9mm (Square Edge),401878,2700 x 1200 x 9 mm,2.7,sheet,2700,1200,,9,,,,,45.0,,,,,,sheets,Selling units per pack: 9mm - 30 sheets,,sheet,,,,,80,pending_review,,
Hardie™ Panel Compressed Sheet,,,Hardie™ Panel Compressed Sheet 15mm,Hardie™ Panel Compressed Sheet 15mm,400081,2400 x 1200 x 15 mm,2.4,sheet,2400,1200,,15,,,,,80.4,,,,,10,sheets,Selling units per pack: 15mm – 10 sheets or each,,sheet,,,,,83,pending_review,Unavailable in WA.,
Hardie™ Panel Compressed Sheet,,,Hardie™ Panel Compressed Sheet 18mm,Hardie™ Panel Compressed Sheet 18mm,400094,2400 x 1200 x 18 mm,2.4,sheet,2400,1200,,18,,,,,96.5,,,,,8,sheets,Selling units per pack: 18mm – 8 sheets or each,,sheet,,,,,85,pending_review,Unavailable in WA.,
Hardie™ Panel Compressed Sheet,,,Hardie™ Panel Compressed Sheet 24mm,Hardie™ Panel Compressed Sheet 24mm,400461,2400 x 1200 x 24 mm,2.4,sheet,2400,1200,,24,,,,,128.6,,,,,6,sheets,Selling units per pack: 24mm – 6 sheets or each,,sheet,,,,,87,pending_review,Unavailable in WA.,
Hardie™ Ceramic Tile Underlay,,,Hardie™ Ceramic Tile Underlay 6mm,Hardie™ Ceramic Tile Underlay 6mm,403190,1800 x 1200 x 6 mm,1.8,sheet,1800,1200,,6,,,,,20.7,,,,,30,sheets,Selling units per pack: 30 sheets,,sheet,,,,,88,pending_review,,
Hardie™ Secura™ Flooring,,,Hardie™ Secura™ Flooring 19mm Green,Hardie™ Secura™ Flooring 19mm Green,405592,2700 x 600 x 19 mm,2.7,sheet,2700,600,,19,,,,,41.0,,,,,20,sheets,Selling units per pack: 20 sheets,,sheet,,,,,89,pending_review,,
Hardie™ Secura™ Flooring,,,Hardie™ Secura™ Flooring 22mm Grey,Hardie™ Secura™ Flooring 22mm Grey,405593,2400 x 600 x 22 mm,2.4,sheet,2400,600,,22,,,,,42.2,,,,,20,sheets,Selling units per pack: 20 sheets,,sheet,,,,,91,pending_review,,
Hardie™ Flex Eaves Lining,,,Hardie™ Flex Eaves Lining,Hardie™ Flex Eaves Lining,400393,2400 x 450 x 4.5 mm,2.4,sheet,2400,450,,4.5,,,,,7.5,,,,,,sheets,Selling units per pack: 60 or 30 sheets,,sheet,,,,,92,pending_review,,
Hardie™ Edge Base Trim,,,Hardie™ Edge Base Trim 3950mm,Hardie™ Edge Base Trim 3950mm,305911,3950 mm,3.95,trim,3950,,,,,,,,,,,,,4,per pack,Colour: Sable™ Brilliance,,each,,,,,95,pending_review,,
Hardie™ Break Thermal Strip,,,Hardie™ Break Thermal Strip,Hardie™ Break Thermal Strip,305612,2750 x 43 x 12 mm,2.75,thermal strip,2750,43,,12,,,,,,,,,,45,per pack,Selling units per pack: 45,,strip,,,,,96,pending_review,,
Hardie™ Wrap Weather Barrier,,,Hardie™ Wrap Weather Barrier,Hardie™ Wrap Weather Barrier,305664,30 m x 2.75 m roll,,roll,,,,,,,,30,9,,,,,1,each,Selling units per pack: 1 each,,roll,,,,,97,pending_review,,
Hardie™ Deck,,,Hardie™ Deck Board,Hardie™ Deck Board,404780,3000 x 196 x 19 mm,3,board,3000,196,,19,,,,,20.6,,,,,50,boards,Selling units per pack: 50 boards,,board,,,,,98,pending_review,,
Hardie™ Deck,,,Hardie™ Deck Finishing Board,Hardie™ Deck Finishing Board,404782,3000 x 296 x 19 mm,3,board,3000,296,,19,,,,,31.2,,,,,1,each,Selling units per pack: 1 each,,each,,,,,99,pending_review,,
ExoTec™ Facade Panel and System,,,ExoTec™ Facade Panel,ExoTec™ Facade Panel,402205,2400 x 1200 x 9 mm,2.4,panel,2400,1200,,9,,,,,49.4,,,,,,sheets,Selling units per pack: 16 sheets or 1 each,,sheet,,,,,100,pending_review,,
ExoTec™ Facade Panel and System,,,ExoTec™ Facade Panel,ExoTec™ Facade Panel,402209,3000 x 1200 x 9 mm,3,panel,3000,1200,,9,,,,,61.8,,,,,,sheets,Selling units per pack: 16 sheets or 1 each,,sheet,,,,,101,pending_review,,
RAB™ Board,,,RAB™ Board,RAB™ Board,402980,2450 x 1200 x 6 mm,2.45,panel,2450,1200,,6,,,,,26.6,,,,,40,sheets,Selling units per pack: 40 sheets,,sheet,,,,,102,pending_review,Unavailable in WA.,
RAB™ Board,,,RAB™ Board,RAB™ Board,402981,3000 x 1200 x 6 mm,3,panel,3000,1200,,6,,,,,32.5,,,,,40,sheets,Selling units per pack: 40 sheets,,sheet,,,,,104,pending_review,,
Hardie™ Smart ZeroLot™ Wall System,,,Hardie™ Smart ZeroLot™ Wall System panel,Hardie™ Smart ZeroLot™ Wall System panel,404880,3000 x 1200 x 8.5 mm,3,panel,3000,1200,,8.5,,,,,47.3,,,,,,,,,panel,,,,,105,pending_review,,
